new,host,a,aaaa,cname,mx,soa,status_code,ns,has_internal_ips,internal_ips,txt,caa,cdn,cdn-name
[x],aggregator.taxi.yandex.net,87.250.250.211,2a02:6b8::367,,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],agnetta-fire.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],agro.yandex.ru,87.250.250.226,2a02:6b8::3:226,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ai.yandex.com,213.180.193.178,2a02:6b8::3d6,,,"ns1.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],aile.yandex.com.tr,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ain43.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aizdes.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],akamai.strm.yandex.net,"2.19.126.222, 2.19.126.220","2a02:26f0:3100::1735:28d0, 2a02:26f0:3100::1735:28eb","akamai.strm.yandex.net.akamaized.net, a1806.dscv.akamai.net",,"n0dscv.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],akita.mail.yandex.net,,2a02:6b8:0:3400:0:2e5:0:31,,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],akno48.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],akremenskiy.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alabama1-wrc-m1.yandex.com,,,,,"ns1.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alabama2-wrc-m1.yandex.com,5.255.198.12,,,,"ns1.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alabama3-wrc-m1.yandex.com,5.255.198.12,,,,"ns1.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alabama4-wrc-m1.yandex.com,5.255.198.12,,,,"ns1.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alabama4.beta.serp.yandex.com.tr,95.108.186.68,,,,"ns3.yandex.net, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alalipowska.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],albina-kalmyk.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],albinagonzalez2010.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],albino4ka-t.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],albion.ydf.yandex.net,87.250.250.226,2a02:6b8::3:226,,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],albobrin.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aldietio.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ale38861847.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ale9532935.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aleks-art57.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aleks5m.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],aleksandr-roshuor.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aleksandr-skusnov.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],aleksei-dmitriew.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aleksei-makar.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],aleksey-legashov6r.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aleksey-prilutskiyel.ya.ru,,,any.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aleksey-zhitnikov7y.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alena-elena-eva.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alena-sherbyuk.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alena-test100.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alenaiud.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alenka-742008.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aless-io.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alex-k-krestov.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],alex210668.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alex27j.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alexandr-zareczckij.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alexbaumgertner.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alexeiser.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alexexp38.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alexey-dolotov.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alexeyevg.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alexscorpio69.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],algorithm.contest.yandex.com,87.250.251.40,2a02:6b8::29f,,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],algorithm.contest.yandex.ru,87.250.251.40,2a02:6b8::29f,contest.yandex.ru,mx.yandex.ru,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,"ns4.yandex.ru, ns3.yandex.ru",,,"mailru-verification: c6acf72bd63bf4dc, v=spf1 include:_spf.yandex.ru include:spf.mindbox.ru -all, , google-site-verification=DdkakfdoNNwUVzrkY85oOidzgLrBuG5wPdBD4aTPvQs",,,
[x],alice-friendy.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alice.ya.ru,"87.250.251.220, 87.250.250.1, 77.88.21.1","2a02:6b8::1:220, 2a02:6b8::1001, 2a02:6b8:0:1::1:1",,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,"ns3.yandex.ru, ns4.yandex.ru",,,,,,
[x],alice.yandex.ru,87.250.251.101,2a02:6b8::1b,,mx.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,"v=spf1 redirect=_spf.yandex.net, mailru-verification: fa9158df8635db73",,,
[x],aliko8.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alisa-savostyanova.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alisa-slish.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alitys-101397.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alivrok.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],all.auto.ru,,,front.auto.ru,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alla-baklane.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alla-prigova.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],alldok79.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aloynastar98.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],alpha.serp.yandex.kz,95.108.186.181,2a02:6b8:0:1a79::d,,,"ns3.yandex.net, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alpha.zen-test.yandex.com,5.255.215.236,2a02:6b8:0:1a16:5054:ff:feb5:80be,m.zen-test.yandex.ru,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alpha.zen-test.yandex.com.tr,5.255.215.236,2a02:6b8:0:1a16:5054:ff:feb5:80be,m.zen-test.yandex.ru,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alpha.zen-test.yandex.ru,5.255.215.236,2a02:6b8:0:1a16:5054:ff:feb5:80be,m.zen-test.yandex.ru,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],alpixua.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],altay.yandex.ru,213.180.204.226,2a02:6b8::226,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],amber-srv04e.yandex.ru,,,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],amc.yandex.ru,87.250.250.254,2a02:6b8::1:254,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ammit.yandex.net,87.250.228.189,2a02:6b8:0:1600::6,,,"ns1.yandex.net, hostmaster.yandex.net",NOERROR,,,,,,,
[x],amocrmtool.taxi.yandex.net,213.180.193.229,2a02:6b8::1:229,taxi-partnersprocess-amocrmtool-stable.stable.qloud-b.yandex.net,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],amor.yandex.ru,"178.154.131.217, 178.154.131.216, 178.154.131.215",,"love.yandex.ru, static.yandex.net",,,NOERROR,,,,,,,
[x],amoyak.vertis.yandex.net,213.180.204.188,2a02:6b8::188,autoru-front.http.yandex.net,,"ns1.yandex.net, hostmaster.yandex.net",NOERROR,,,,,,,
[x],amrita-s.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],an-cached.yandex.net,213.180.193.177,2a02:6b8::177,,,"ns1.yandex.net, hostmaster.yandex.net",NOERROR,,,,,,,
[x],an.taxi.yandex.net,,2a02:6b8:0:3400:0:cd3:0:131,hiring-infranaim-api-old.taxi.yandex.net,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],an.yandex.by,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],an.yandex.com,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],an.yandex.com.tr,,,,,"ns1.yandex.net, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],an.yandex.kz,"213.180.193.1, 93.158.134.1","2a02:6b8::242, 2a02:6b8::1, 2a02:6b8:0:1::1",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],an.yandex.ru,"77.88.21.90, 213.180.193.90, 93.158.134.90, 87.250.250.90, 213.180.204.90",2a02:6b8::90,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ana5492.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anagrimo.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],analytics.market.yandex.ru,213.180.204.222,2a02:6b8::ab,front-analytics.vs.market.yandex.net,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],analytics.mobile.yandex.net,87.250.250.207,2a02:6b8::3:207,report.appmetrica.yandex.net,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],analytics.ya.ru,87.250.251.77,2a02:6b8::2b1,metrika.yandex.ru,mx.yandex.ru,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,"ns4.yandex.ru, ns3.yandex.ru",,,"google-site-verification=xwuZGOnRaVruRa6Zr3pSEE8jwNz8o7VPCLh_Dr27vwM, mailru-verification: 0e974438469744b7, v=spf1 redirect=_spf.yandex.ru, yandex-verification: b85a9c2f48088a9f",,,
[x],analytics.yandex.com,87.250.251.77,2a02:6b8::2b1,metrika.yandex.ru,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,"ns3.yandex.ru, ns4.yandex.ru",,,"google-site-verification=xwuZGOnRaVruRa6Zr3pSEE8jwNz8o7VPCLh_Dr27vwM, mailru-verification: 0e974438469744b7, v=spf1 redirect=_spf.yandex.ru, yandex-verification: b85a9c2f48088a9f",,,
[x],anatol-borovich.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anatole-gerasimov.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anatoliy-yarmolovich37.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andkozakov.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andray-0.yandex.ru,213.180.204.242,,,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andrei-koteev.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andrei-kusnetsov.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andreihook2012.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andreylarionov-samara.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andreznar.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andrianaflores.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],andrienko-pyotr42.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],android-us.apps.yandex.ru,213.180.204.242,,,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ang.2010.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ang2.yandex.ru,,,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],ang2.yandex.st,87.250.250.226,2a02:6b8::3:226,"ang2.yandex-team.ru, common-public.stable.qloud-b.yandex.net",,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],angel-devchonka.ya.ru,"213.180.193.1, 93.158.134.1","2a02:6b8::242, 2a02:6b8::1, 2a02:6b8:0:1::1",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],angel-hotel.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],angius.yandex.ru,213.180.204.242,,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],angola.yandex.net,87.250.234.65,2a02:6b8:0:1400::7,,,"ns1.yandex.net, hostmaster.yandex.net",NOERROR,,,,,,,
[x],anik1984.ya.ru,,,any.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],animalfrends.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anjolio.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],anna-anu2010.ya.ru,213.180.204.242,,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anna-zheltonogova.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anna.rdh.86.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],annaromanova1983.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],annashpak.ya.ru,"213.180.193.1, 93.158.134.1","2a02:6b8::242, 2a02:6b8::1, 2a02:6b8:0:1::1",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],annettka07.ya.ru,"213.180.204.242, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::242",any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns1.yandex.ru, ns2.yandex.ru",,,,,,
[x],annoynimouse.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],annymclean.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anruz69.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],antikolesnik.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],antirobot.yandex.ru,141.8.146.121,2a02:6b8:0:3400::121,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],antispam.yandex.ru,213.180.204.242,,,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anton-silaev9p.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],any-1f.yandex.ru,95.108.229.159,,,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],any.yandex.ru,213.180.204.242,2a02:6b8::242,,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],anzhalikad.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],aor8200.ya.ru,213.180.204.242,2a02:6b8::242,any.yandex.ru,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],api-abook.yandex.ru,213.180.204.242,,,not-for-mail.yandex.net,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],api-audience.yandex.by,93.158.134.101,2a02:6b8::225,api-audience.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],api-audience.yandex.com,"93.158.134.101, 213.180.193.1, 93.158.134.1","2a02:6b8::1, 2a02:6b8:0:1::1, 2a02:6b8::225",api-audience.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,"ns2.yandex.ru, ns1.yandex.ru",,,,,,
[x],api-audience.yandex.kz,93.158.134.101,2a02:6b8::225,api-audience.yandex.ru,,"ns1.yandex.ru, sysadmin.yandex-team.ru",NOERROR,,,,,,,
[x],api-dev1.yandex.com,,2a02:6b8:c02:5e3:0:639:3a65:35dc,dev.xscript.yandex.net,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
[x],api-dev1.yandex.kz,,2a02:6b8:c02:5e3:0:639:3a65:35dc,dev.xscript.yandex.net,,"ns3.yandex.ru, sysadmin.yandex.ru",NOERROR,,,,,,,
