input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,tls_wildcard_certificate,tls_self_signed,tls_mismatched,csp_domains_,final_url,location
jwtservice-eit.capitalone.com,,403,845,incapsula,443,https://jwtservice-eit.capitalone.com:443,https,,text/html,GET,45.60.64.13,/,1988925903,45.60.64.13,Imperva,1,False,True,jwtservice-eit.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-10T00:00:00Z,2024-03-12T23:59:59Z,"CN=jwtservice-eit.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",jwtservice-eit.capitalone.com,Capital One Financial Corporation,jwtservice-eit.capitalone.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,94f6c01ed79f7e9896a2967b6201ce59,53a9d05d48f7f91694177ad6d469b60658c8d5792de7c0a8e8c64c46347c87a2,ctls,jwtservice-eit.capitalone.com,,,,,,
jwtservice-tc.capitalone.com,,403,56,,443,https://jwtservice-tc.capitalone.com:443,https,,application/json,GET,54.218.220.32,/,340878189,54.189.77.31,,1,False,,jwtservice-tc.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-06-27T00:00:00Z,2023-07-28T23:59:59Z,"CN=api-an.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api-an.capitalone.com,Capital One Financial Corporation,docs.capitalonetradecredit.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ab3ee1938f3266ccef3fa3d2cbe41377,f65b9d418b9b6ad6dc39867e5cf62ecef46d4e355cf6d17343f0ee35ab647607,ctls,jwtservice-tc.capitalone.com,,,,,,
jwtservice.bluetarp.com,,403,846,incapsula,443,https://jwtservice.bluetarp.com:443,https,,text/html,GET,45.60.64.13,/,-2132995099,45.60.64.13,Imperva,1,False,True,jwtservice.bluetarp.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=jwtservice.bluetarp.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",jwtservice.bluetarp.com,Capital One Financial Corporation,jwtservice.bluetarp.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,c5318c29e41903484edcd8c1d58ee73e,f16aaa5b9cab0beddd83aaa7dd1eceae2606c1ce4e4ee35a18da8ab67eea02ba,ctls,jwtservice.bluetarp.com,,,,,,
kohls.capitalone.com,Kohl's Capital One Credit Card Login,200,36884,cloudfront,443,https://kohls.capitalone.com:443,https,AmazonS3,text/html,GET,143.204.215.59,/,-25242285,143.204.215.69,React,1,False,True,kohls.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=partnerships-primer-pages.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",partnerships-primer-pages.capitalone.com,Capital One Financial Corporation,kohlsrewardsvisa.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,cc2b8b8848ef38ccf07da6431e2c496e,e534f1be226929cee37d3a16351ba69d72228415fce99cf337f24b31b5e0bfef,ctls,kohls.capitalone.com,,,,,,
kohlsrewardsvisa.capitalone.com,"Kohl's | Capital One - Get ready for a new card and rewards that go
  further",200,50126,cloudfront,443,https://kohlsrewardsvisa.capitalone.com:443,https,AmazonS3,text/html,GET,143.204.215.82,/,535010068,143.204.215.59,React,3,False,True,kohlsrewardsvisa.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-03T00:00:00Z,2024-04-02T23:59:59Z,"CN=partnerships-primer-pages.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",partnerships-primer-pages.capitalone.com,Capital One Financial Corporation,kohlsrewardsvisa.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,cc2b8b8848ef38ccf07da6431e2c496e,e534f1be226929cee37d3a16351ba69d72228415fce99cf337f24b31b5e0bfef,ctls,kohlsrewardsvisa.capitalone.com,,,,,,
kwyjibostack.capitalone.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://kwyjibostack.capitalone.com:80,http,CloudFront,text/html,GET,143.204.89.5,/,-1538954064,2600:9000:2156:2800:16:39b2:ba40:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
learning.capitalone.com,Loading,200,21449,,80,http://learning.capitalone.com:80,http,,text/html,GET,18.208.39.163,/,-1840324437,100.24.157.224,,561,False,,,,,,,,,,,,,,,,,,,,,,,,http://learning.capitalone.com/learn/home,
learningsandbox.capitalone.com,Loading,200,21449,,443,https://learningsandbox.capitalone.com:443,https,,text/html,GET,54.152.17.105,/,-1840324437,54.90.38.173,,561,False,,learningsandbox.capitalone.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-04T00:00:00Z,2023-09-04T23:59:59Z,"CN=learningsandbox.capitalone.com, O=Capital One Financial, L=McLean, ST=Virginia, C=US",learningsandbox.capitalone.com,Capital One Financial,learningsandbox.capitalone.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,28770a40f5ea5023feaeb7b9ff9a959d,e229312227a985fc6964aa7fb22dbb89735f1d40f5635009e87deee280c3ed58,ctls,learningsandbox.capitalone.com,,,,learningsandbox.capitalone.com,https://learningsandbox.capitalone.com/learn/home,
legalportal.capitalone.com,ERROR: The request could not be satisfied,403,986,cloudfront,443,https://legalportal.capitalone.com:443,https,CloudFront,text/html,GET,18.66.112.42,/,-169465996,18.66.112.70,Amazon Web Services,20,False,True,legalportal.capitalone.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-14T23:59:59Z,"CN=legalportal.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",legalportal.capitalone.com,Capital One Financial Corporation,legalportal.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,0c742a89c6bb50a69a1054dc6ed48b6a,dee8c864b49cbe5fd885a2249d8d762cf5714f850c208850031f7afb5b466597,ctls,legalportal.capitalone.com,,,,,,
lending.capitalone.com,Invalid URL,400,208,,80,http://lending.capitalone.com:80,http,AkamaiGHost,text/html,GET,2.16.187.67,/,180177636,2.16.187.35,,8,False,,,,,,,,,,,,,,,,,,,,,,,,,
link-qa.capitalone.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://link-qa.capitalone.com:80,http,CloudFront,text/html,GET,18.66.97.86,/,1438812610,2600:9000:223c:6e00:16:4e29:b280:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
link.capitalone.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://link.capitalone.com:80,http,CloudFront,text/html,GET,99.86.4.127,/,-495461582,2600:9000:2057:da00:15:2577:f280:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
links-beta.capitalone.com,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://links-beta.capitalone.com:80,http,CloudFront,text/html,GET,13.32.27.45,/,-1207530797,2600:9000:211e:a00:19:1b42:df00:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
links.capitalone.com,Sign in to access your account(s),200,31600,cloudfront,443,https://links.capitalone.com:443,https,AmazonS3,text/html,GET,99.86.4.127,/,-1064933005,2600:9000:2057:b800:15:2577:f280:93a1,HSTS,78,False,True,verified.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-06T00:00:00Z,2024-02-05T23:59:59Z,"CN=verified.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",verified.capitalone.com,Capital One Financial Corporation,verified.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,9aef86383395289d2c4a723e070310b9,9b15c9e41c605783aac0e381dd7b2f1c3a330c53b1a569f0dd5ea5f90e80de46,ctls,verified.capitalone.com,,,,,https://verified.capitalone.com/auth/signin?Product=ENTERPRISE,
littlewoods-apply.capitalone.co.uk,,200,3973,cloudfront,443,https://littlewoods-apply.capitalone.co.uk:443,https,-,text/html,GET,65.9.66.96,/,2111756096,65.9.66.44,HSTS,1,False,True,littlewoods-apply.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=apply.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",apply.capitalone.co.uk,Capital One Financial Corporation,asos-apply.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,b2a99267e75181e80aa27b55296f89ed,5a01f4d0371fed386144ce0ff7f2544f8454cdbc8086c178451810ec51e34625,ctls,littlewoods-apply.capitalone.co.uk,,,,https://cdn.appdynamics.com,,
littlewoods-directdebit.capitalone.co.uk,Create Next App,404,3047,cloudfront,443,https://littlewoods-directdebit.capitalone.co.uk:443,https,AmazonS3,text/html,GET,52.222.191.59,/,745231837,52.222.191.114,Amazon Web Services,1,False,True,littlewoods-directdebit.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=directdebit.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",directdebit.capitalone.co.uk,Capital One Financial Corporation,postoffice-directdebit.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,3a4e406eb09ea0c2751b9efeea0198b4,1c3128f4c876c9dbe4d833ea9a384f2d706eecd432fab8ebd50297c97ea6b418,ctls,littlewoods-directdebit.capitalone.co.uk,,,,,,
littlewoods-quickcheck.capitalone.co.uk,,200,4400,cloudfront,443,https://littlewoods-quickcheck.capitalone.co.uk:443,https,-,text/html,GET,13.32.27.103,/,1671082452,13.32.27.124,HSTS,1,False,True,littlewoods-quickcheck.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-04-23T23:59:59Z,"CN=www.quickcheck.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.quickcheck.capitalone.co.uk,Capital One Financial Corporation,asos-quickcheck.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a0ee90c9fd587ce2d475390d04c6a64e,972c97b9e59bfd24327a81ac9e7e87fe1478e0d534f4cef5d323030b18f8ba3e,ctls,littlewoods-quickcheck.capitalone.co.uk,,,,https://www.facebook.com,,
littlewoods-verify.capitalone.co.uk,,200,3895,cloudfront,443,https://littlewoods-verify.capitalone.co.uk:443,https,-,text/html,GET,143.204.215.57,/,1848650869,143.204.215.27,HSTS,1,False,True,littlewoods-verify.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-04-23T23:59:59Z,"CN=verify.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",verify.capitalone.co.uk,Capital One Financial Corporation,asos-verify.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,dd1a5afa6e4908a11c507c18b1592c1c,f4600ca138ea4c9644948728ebca4285703288badd533c1253a96a7a9de2e5fc,ctls,littlewoods-verify.capitalone.co.uk,,,,https://www.gstatic.com,,
littlewoods.capitalone.co.uk,Capital One Credit Cards UK | Apply For A Credit Card Online | Capital One,200,63120,cloudfront,443,https://littlewoods.capitalone.co.uk:443,https,server,text/html,GET,52.222.214.49,/,2122688666,52.222.214.125,React,207,False,True,www.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T00:00:00Z,2023-11-16T23:59:59Z,"CN=www.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.capitalone.co.uk,Capital One Financial Corporation,activate.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,81b98f7bb3e30d4523a0aafea843d75f,0a4c28a3a75c57cdcc9e11023cd36cf8044a0813cc1026dc92c31f4ab7bf0979,ctls,www.capitalone.co.uk,,,,https://www.googletagmanager.com,https://www.capitalone.co.uk/,
locations-staging.capitalone.com,"Capital One Branch, ATM & Café Location Finder",200,3371,,443,https://locations-staging.capitalone.com:443,https,AmazonS3,text/html,GET,104.107.133.32,/,2122688666,2a02:26f0:e0:782::18b1,Amazon Web Services,77,False,,locations-staging.capitalone.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=locations.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",locations.capitalone.com,Capital One Financial Corporation,locations-staging.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,89fe2a7b8dc83f128b9abc956e0e0780,37e067b666ec4702581129a7390a3fbba288152d8d647996600dba1fb3a9f9e1,ctls,locations-staging.capitalone.com,,,,,,
locations.capitalone.com,"Capital One Branch, ATM & Café Location Finder",200,3371,,443,https://locations.capitalone.com:443,https,AmazonS3,text/html,GET,23.201.245.29,/,2122688666,23.201.245.29,Amazon Web Services,77,False,,locations.capitalone.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-26T00:00:00Z,2023-06-26T23:59:59Z,"CN=locations.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",locations.capitalone.com,Capital One Financial Corporation,locations-staging.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,89fe2a7b8dc83f128b9abc956e0e0780,37e067b666ec4702581129a7390a3fbba288152d8d647996600dba1fb3a9f9e1,ctls,locations.capitalone.com,,,,,,
lordandtaylor.capitalone.com,Sign in to access your account(s),200,31600,cloudfront,443,https://lordandtaylor.capitalone.com:443,https,AmazonS3,text/html,GET,18.66.122.74,/,-1064933005,18.66.122.32,HSTS,78,False,True,verified.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-06T00:00:00Z,2024-02-05T23:59:59Z,"CN=verified.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",verified.capitalone.com,Capital One Financial Corporation,verified.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,9aef86383395289d2c4a723e070310b9,9b15c9e41c605783aac0e381dd7b2f1c3a330c53b1a569f0dd5ea5f90e80de46,ctls,verified.capitalone.com,,,,,https://verified.capitalone.com/auth/signin,
luma-apply.capitalone.co.uk,,200,3973,cloudfront,443,https://luma-apply.capitalone.co.uk:443,https,-,text/html,GET,65.9.66.44,/,2111756096,65.9.66.96,HSTS,1,False,True,luma-apply.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-04-26T23:59:59Z,"CN=apply.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",apply.capitalone.co.uk,Capital One Financial Corporation,asos-apply.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,b2a99267e75181e80aa27b55296f89ed,5a01f4d0371fed386144ce0ff7f2544f8454cdbc8086c178451810ec51e34625,ctls,luma-apply.capitalone.co.uk,,,,wss://mpsnare.iesnare.com,,
luma-quickcheck.capitalone.co.uk,,200,4400,cloudfront,443,https://luma-quickcheck.capitalone.co.uk:443,https,-,text/html,GET,13.32.27.6,/,1671082452,13.32.27.103,HSTS,1,False,True,luma-quickcheck.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-04-23T23:59:59Z,"CN=www.quickcheck.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.quickcheck.capitalone.co.uk,Capital One Financial Corporation,asos-quickcheck.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,a0ee90c9fd587ce2d475390d04c6a64e,972c97b9e59bfd24327a81ac9e7e87fe1478e0d534f4cef5d323030b18f8ba3e,ctls,luma-quickcheck.capitalone.co.uk,,,,https://www.oceanfinance.co.uk,,
luma-setup.capitalone.co.uk,ERROR: The request could not be satisfied,403,919,cloudfront,443,https://luma-setup.capitalone.co.uk:443,https,CloudFront,text/html,GET,99.86.4.104,/,695895354,99.86.4.68,Amazon Web Services,20,False,True,luma-setup.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-07T23:59:59Z,"CN=setup.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",setup.capitalone.co.uk,Capital One Financial Corporation,postoffice-setup.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,ebbfd06e10ced990fca785db2d222b92,dbfcfc214c57c444a7162c45b6f4ed6a1d14c004cec629a97e878629eaa779cd,ctls,luma-setup.capitalone.co.uk,,,,,,
luma-verify.capitalone.co.uk,,200,3895,cloudfront,443,https://luma-verify.capitalone.co.uk:443,https,-,text/html,GET,52.222.191.111,/,1848650869,52.222.191.83,HSTS,1,False,True,luma-verify.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-04-23T23:59:59Z,"CN=verify.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",verify.capitalone.co.uk,Capital One Financial Corporation,asos-verify.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,dd1a5afa6e4908a11c507c18b1592c1c,f4600ca138ea4c9644948728ebca4285703288badd533c1253a96a7a9de2e5fc,ctls,luma-verify.capitalone.co.uk,,,,https://www.gstatic.com,,
luma.capitalone.co.uk,Capital One Credit Cards UK | Apply For A Credit Card Online | Capital One,200,63120,cloudfront,443,https://luma.capitalone.co.uk:443,https,server,text/html,GET,143.204.215.89,/,2122688666,143.204.215.64,React,207,False,True,www.capitalone.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-17T00:00:00Z,2023-11-16T23:59:59Z,"CN=www.capitalone.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.capitalone.co.uk,Capital One Financial Corporation,activate.capitalone.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,81b98f7bb3e30d4523a0aafea843d75f,0a4c28a3a75c57cdcc9e11023cd36cf8044a0813cc1026dc92c31f4ab7bf0979,ctls,www.capitalone.co.uk,,,,http://consent.trustarc.com,https://www.capitalone.co.uk/,
luma.co.uk,Luma – The Credit Card That’s a Bit More Friendly!,200,16741,cloudfront,443,https://luma.co.uk:443,https,server,text/html,GET,108.138.7.63,/,-191691481,108.138.7.8,YouTube,3,False,True,luma.co.uk,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-10-03T00:00:00Z,2023-10-03T23:59:59Z,"CN=luma.co.uk, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",luma.co.uk,Capital One Financial Corporation,www.luma.co.uk,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,3232a00371b938c12cef0ea008652baa,67874cf6cacbae4248e5c7d4e77a42ffb0313043cd910d9fbef20bc5428c327d,ctls,luma.co.uk,,,,https://consent.trustarc.com,,
m-metrics.capitalone.com,,404,721,,443,https://m-metrics.capitalone.com:443,https,,text/html,GET,54.148.98.126,/,-1895070927,54.71.216.70,Amazon Web Services,2,False,,m-metrics.capitalone.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-27T00:00:00Z,2024-01-20T23:59:59Z,"CN=m-metrics.capitalone.com, O=Capital One Financial Corporation, L=McLean, ST=Virginia, C=US, serialNumber=2419959, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",m-metrics.capitalone.com,Capital One Financial Corporation,mobile-metrics.capitalone.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,10ffd61185a80bd369b8810e3846bde2,2b58238423e65bee262634a5c0031e52d80a8405acb4ac14dc31574857f09026,ctls,m-metrics.capitalone.com,,,,,,
m-wallet1.capitalone.ca,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://m-wallet1.capitalone.ca:80,http,CloudFront,text/html,GET,13.225.78.37,/,1647806847,13.225.78.125,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,,,
