input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,webserver,final_url,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,tls_expired,tls_self_signed
dewarmsteboit-4.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://dewarmsteboit-4.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
dewarmsteboit.events.stubru.be,StuBru,200,214596,AS56837,TIGRON-AS,BE,86.39.64.0/20,stubru.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,stubru.be,,443,https://dewarmsteboit.events.stubru.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,webpack,3,False,,nginx/1.22.0,https://stubru.be/,,,,,,
dewarmsteweek.be,Home | De Warmste Week,200,26790,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,dewarmsteweek.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-10T23:59:59Z,CN=*.dewarmsteweek.be,*.dewarmsteweek.be,dewarmsteweek.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7154e180daff39c67da42d4778255115,ccb7fde7fc4a2b5155d6894b003a5405a8ac970be384b496faff6eff5fb1d49e,ctls,dewarmsteweek.be,cloudfront,443,https://dewarmsteweek.be:443,https,text/html,GET,108.138.7.16,/,30657261,2600:9000:225b:fe00:7:b6a7:d840:93a1,Nginx,298,False,True,nginx,,True,,,,,
dewarmsteweek.stubru.be,Home | De Warmste Week,200,26790,AS16509,AMAZON-02,US,18.165.132.0/23,dewarmsteweek.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-10T23:59:59Z,CN=*.dewarmsteweek.be,*.dewarmsteweek.be,dewarmsteweek.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,7154e180daff39c67da42d4778255115,ccb7fde7fc4a2b5155d6894b003a5405a8ac970be384b496faff6eff5fb1d49e,ctls,dewarmsteweek.be,cloudfront,443,https://dewarmsteweek.stubru.be:443,https,text/html,GET,18.165.122.22,/,,2600:9000:2156:cc00:14:ab96:b5c0:93a1,Nginx,298,False,True,nginx,https://dewarmsteweek.be/,True,,,,,
dialin.vrt.be,,200,,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.113.192.0/23,dialin.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,2023-02-03T18:41:36Z,2024-01-29T18:41:36Z,"CN=*.online.lync.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.online.lync.com,*.lync.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,2caac3e97714f2cd46d17017c8f7ca9e,f38e6481f423e45388c4b40cabf45c6641d3131d29bed689eac88c27936a5618,ctls,dialin.vrt.be,,443,https://dialin.vrt.be:443,https,,GET,52.112.192.14,/,-1807411396,2603:1027:0:2::e,Windows Server,1,False,,Microsoft-IIS/8.5,,True,True,Microsoft Corporation,,,
dictee-stag.radio1.be,Het Hautekietdictee der Nederlandse Taal,200,4519,AS16509,AMAZON-02,US,18.66.102.0/24,dictee-stag.radio1.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-04T23:59:59Z,CN=dictee-stag.radio1.be,dictee-stag.radio1.be,dictee-stag.radio1.be,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d43fb9a2a707326e96431d5b4c5f2c1c,96fdaf05a8f9518e46cc9b4a8f0fe3e666a11e08ae57f75528f1bd34f8e8edb3,ctls,dictee-stag.radio1.be,cloudfront,443,https://dictee-stag.radio1.be:443,https,text/html,GET,18.66.97.38,/,-412804701,2600:9000:223c:d800:2:3fa6:b140:93a1,React,4,False,True,AmazonS3,,,,,,,
directaccess2k12.vrt.be,Not Found,404,315,AS49046,VRT-AS,BE,95.130.40.0/21,directaccess2k12.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-01T00:00:00Z,2023-08-01T23:59:59Z,"CN=alwayson-stag.vrt.be, O=VRT, ST=Brussels Hoofdstedelijk Gewest, C=BE",alwayson-stag.vrt.be,alwayson-stag.vrt.be,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,83ed421127f96e7da55d386ef80002e8,43405c37ebd5b70f5f34eb6db27d76d5a0e1803e4452f00d40b758bb1c46f043,ctls,directaccess2k12.vrt.be,,443,https://directaccess2k12.vrt.be:443,https,text/html,GET,95.130.43.92,/,225052475,95.130.43.92,Microsoft HTTPAPI:2.0,7,False,,Microsoft-HTTPAPI/2.0,,,True,VRT,,,
eenatthemovies-bombshell.events.vrt.be,32CP - Creative Partnerships - één@themovies - Bombshell,200,2642,AS56837,TIGRON-AS,BE,86.39.64.0/20,eenatthemovies-bombshell.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T10:40:54Z,2023-07-23T10:40:53Z,CN=eenatthemovies-bombshell.events.vrt.be,eenatthemovies-bombshell.events.vrt.be,eenatthemovies-bombshell.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3cef7688c96b4b201cd8a4be50fef48e,abbcc0c654298b1b1cc2f13c0baeeff360c6382b120240ea4325248afc8a1a64,ctls,eenatthemovies-bombshell.events.vrt.be,,443,https://eenatthemovies-bombshell.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://eenatthemovies-bombshell.events.vrt.be/login,,,,,,
eenatthemovies-cats.events.vrt.be,32CP - Creative Partnerships - één@themovies - Cats,200,2622,AS56837,TIGRON-AS,BE,86.39.64.0/20,eenatthemovies-cats.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T16:55:09Z,2023-06-21T16:55:08Z,CN=eenatthemovies-cats.events.vrt.be,eenatthemovies-cats.events.vrt.be,eenatthemovies-cats.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fcf022f0322536198d1edf5a0157d179,eff9cc4104717d1c23f054e0a273dcd80c698bc9116b34822092f823429aea7b,ctls,eenatthemovies-cats.events.vrt.be,,443,https://eenatthemovies-cats.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://eenatthemovies-cats.events.vrt.be/login,,,,,,
eenatthemovies-littlewomen.events.vrt.be,32CP - Creative Partnerships - één@themovies - Litte Women,200,2650,AS56837,TIGRON-AS,BE,86.39.64.0/20,eenatthemovies-littlewomen.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T16:00:09Z,2023-08-04T16:00:08Z,CN=eenatthemovies-littlewomen.events.vrt.be,eenatthemovies-littlewomen.events.vrt.be,eenatthemovies-littlewomen.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,876a110fd94d5d3201c0f5029903fbe6,b04a855e057c9f6690ed93226cfbccd09ddcb890ac6169dd65d2bce6a53369bd,ctls,eenatthemovies-littlewomen.events.vrt.be,,443,https://eenatthemovies-littlewomen.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://eenatthemovies-littlewomen.events.vrt.be/login,,,,,,
eenstubru-spiderman.events.vrt.be,32CP - Creative Partnerships - een en stubru nodigen uit - Spider Man,200,2676,AS56837,TIGRON-AS,BE,86.39.64.0/20,eenstubru-spiderman.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-26T16:35:10Z,2023-06-24T16:35:09Z,CN=eenstubru-spiderman.events.vrt.be,eenstubru-spiderman.events.vrt.be,eenstubru-spiderman.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,23ebc80aa7c6f0f281734d3cb100eadf,eaa05fd3b37aa151c13db01bdef7f97f8053879d677e86d0a13d0b7943a73c4e,ctls,eenstubru-spiderman.events.vrt.be,,443,https://eenstubru-spiderman.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://eenstubru-spiderman.events.vrt.be/login,,,,,,
eenstubrur2ghostbusters.events.vrt.be,"32CP - Creative Partnerships - Eén, Studio Brussel en Radio2 nodigen uit - Ghostbusters",200,2734,AS56837,TIGRON-AS,BE,86.39.64.0/20,eenstubrur2ghostbusters.events.vrt.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-15T09:10:09Z,2023-07-14T09:10:08Z,CN=eenstubrur2ghostbusters.events.vrt.be,eenstubrur2ghostbusters.events.vrt.be,eenstubrur2ghostbusters.events.vrt.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2edf51585917c3839809955fea149643,afd060d46dd83f746528685a3ebf0e3b218373992a5e7357374a264cfe277604,ctls,eenstubrur2ghostbusters.events.vrt.be,,443,https://eenstubrur2ghostbusters.events.vrt.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://eenstubrur2ghostbusters.events.vrt.be/login,,,,,,
enterpriseregistration.dewarmsteweek.be,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,enterpriseregistration.dewarmsteweek.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.dewarmsteweek.be,azure,443,https://enterpriseregistration.dewarmsteweek.be:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,True,True,Microsoft Corporation,,,
enterpriseregistration.ketnet.be,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,enterpriseregistration.ketnet.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.ketnet.be,azure,443,https://enterpriseregistration.ketnet.be:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,True,True,Microsoft Corporation,,,
enterpriseregistration.klara.be,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,enterpriseregistration.klara.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.klara.be,azure,443,https://enterpriseregistration.klara.be:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,True,True,Microsoft Corporation,,,
enterpriseregistration.radio2.be,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,enterpriseregistration.radio2.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,2024-02-09T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,a6e45158afb23e4d3d7ad5975ed54d03,62af4b86a7f8d2913ffabbbb4465a2cd43cdd51d772ff6a8a77cdfe4968a5037,ctls,enterpriseregistration.radio2.be,azure,443,https://enterpriseregistration.radio2.be:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,True,True,Microsoft Corporation,,,
enterpriseregistration.sporza.be,Service,404,1565,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,20.196.0.0/18,,,,,,,,,,,,,,,,,,azure,80,http://enterpriseregistration.sporza.be:80,http,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,,,,,,,,
epg-stag.vrt.be,VRT Services,200,36675,AS0,Not routed,None,99.86.8.0/24,epg-stag.vrt.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-11T23:59:59Z,CN=services-stag.vrt.be,services-stag.vrt.be,b2b-stag.vrt.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3136b9478d632ff6496a95b4b70fda1d,c9ec1a6c3060ea597e0a459fe6549eff732181565248c780e553d2f0cf4e7fce,ctls,epg-stag.vrt.be,cloudfront,443,https://epg-stag.vrt.be:443,https,text/html,GET,99.86.4.35,/,1714000548,99.86.4.90,Nginx:1.6.2,1173,False,True,nginx/1.6.2,,,,,,,
epg.vrt.be,VRT Services,200,36665,AS16509,AMAZON-02,US,18.66.102.0/24,,,,,,,,,,,,,,,,,,cloudfront,80,http://epg.vrt.be:80,http,text/html,GET,18.66.97.67,/,1714000548,18.66.97.50,Nginx:1.6.2,1173,False,True,nginx/1.6.2,,,,,,,
eregalerij-gasten.events.radio2.be,05R2 - Radio 2 - Eregalerij GAST,200,2576,AS56837,TIGRON-AS,BE,86.39.64.0/20,eregalerij-gasten.events.radio2.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-16T06:10:07Z,2023-07-15T06:10:06Z,CN=eregalerij-gasten.events.radio2.be,eregalerij-gasten.events.radio2.be,eregalerij-gasten.events.radio2.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fe1abc8f665027b30d6d2ded8fdf5477,67d9d165de3b295a718b946cd52787ede661463a7cc5220c5c4d6853120d6d6a,ctls,eregalerij-gasten.events.radio2.be,,443,https://eregalerij-gasten.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,70,False,,,https://eregalerij-gasten.events.radio2.be/login,,,,,,
eregalerij-genodigde.events.radio2.be,05R2 - Radio 2 - Eregalerij GENODIGDE,200,3446,AS56837,TIGRON-AS,BE,86.39.64.0/20,eregalerij-genodigde.events.radio2.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-16T10:30:07Z,2023-06-14T10:30:06Z,CN=eregalerij-genodigde.events.radio2.be,eregalerij-genodigde.events.radio2.be,eregalerij-genodigde.events.radio2.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c05a8f179ea836e160fd32a0cac47259,0f158e95374136eee257d390a4eb6d62ae015f2430aca10d76f5f148ce45a7fb,ctls,eregalerij-genodigde.events.radio2.be,,443,https://eregalerij-genodigde.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,96,False,,,https://eregalerij-genodigde.events.radio2.be/login,,,,,,
eregalerij-relatie.events.radio2.be,05R2 - Radio 2 - Eregalerij RELATIE,200,3440,AS56837,TIGRON-AS,BE,86.39.64.0/20,eregalerij-relatie.events.radio2.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-16T14:45:10Z,2023-06-14T14:45:09Z,CN=eregalerij-relatie.events.radio2.be,eregalerij-relatie.events.radio2.be,eregalerij-relatie.events.radio2.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,34805080e1071f7ed5f01131360714c3,a19c46f046ca19db573ca04e8d3f32d5f5a40881d04d2c645a99262fd6b62df3,ctls,eregalerij-relatie.events.radio2.be,,443,https://eregalerij-relatie.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,96,False,,,https://eregalerij-relatie.events.radio2.be/login,,,,,,
eregalerij-relaties-tickets.events.radio2.be,elke dag telt voor 2 | radio2,200,243147,AS56837,TIGRON-AS,BE,86.39.64.0/20,radio2.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,radio2.be,,443,https://eregalerij-relaties-tickets.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-1312892925,2a00:6ec0:101:1:0:98:0:1,webpack,1,False,,nginx/1.22.0,https://radio2.be/,,,,,,
eregalerij-vip.events.radio2.be,05R2 - Radio 2 - Eregalerij VIP,200,3428,AS56837,TIGRON-AS,BE,86.39.64.0/20,eregalerij-vip.events.radio2.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-20T10:10:07Z,2023-06-18T10:10:06Z,CN=eregalerij-vip.events.radio2.be,eregalerij-vip.events.radio2.be,eregalerij-vip.events.radio2.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ca66f13931c242acf277e12e4a666d12,2b449ee2315f7cf8628e4c083904357e10de271ea6da444e0c586d8fc889d384,ctls,eregalerij-vip.events.radio2.be,,443,https://eregalerij-vip.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,96,False,,,https://eregalerij-vip.events.radio2.be/login,,,,,,
eregalerij2022-genodigde-tickets.events.radio2.be,05R2 - Radio 2 - Eregalerij GENODIGDE Tickets,200,3474,AS56837,TIGRON-AS,BE,86.39.64.0/20,eregalerij2022-genodigde-tickets.events.radio2.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T14:40:07Z,2023-06-11T14:40:06Z,CN=eregalerij2022-genodigde-tickets.events.radio2.be,eregalerij2022-genodigde-tickets.events.radio2.be,eregalerij2022-genodigde-tickets.events.radio2.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3ac836e5ddf1e77f6bb0054f6b4b5c34,fb9f5dc33a919bd6b92ed5f323c56e47cddb7096a2e898685ea532ce307d9de5,ctls,eregalerij2022-genodigde-tickets.events.radio2.be,,443,https://eregalerij2022-genodigde-tickets.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,96,False,,,https://eregalerij2022-genodigde-tickets.events.radio2.be/login,,,,,,
eregalerij2022-relatie-tickets.events.radio2.be,05R2 - Radio 2 - Eregalerij RELATIE Tickets,200,3468,AS56837,TIGRON-AS,BE,86.39.64.0/20,eregalerij2022-relatie-tickets.events.radio2.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-16T04:10:06Z,2023-06-14T04:10:05Z,CN=eregalerij2022-relatie-tickets.events.radio2.be,eregalerij2022-relatie-tickets.events.radio2.be,eregalerij2022-relatie-tickets.events.radio2.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,947ec26c862776ee5c4a675a93b244ed,ffc28e8935b0080f968b3c2a42125d5810d8b74868d3e7ff7ccb53525e48dff6,ctls,eregalerij2022-relatie-tickets.events.radio2.be,,443,https://eregalerij2022-relatie-tickets.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,,96,False,,,https://eregalerij2022-relatie-tickets.events.radio2.be/login,,,,,,
eregalerij2022-vip-tickets.events.radio2.be,05R2 - Radio 2 - Eregalerij VIP Tickets,200,3456,AS56837,TIGRON-AS,BE,86.39.64.0/20,eregalerij2022-vip-tickets.events.radio2.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-12T13:30:07Z,2023-06-10T13:30:06Z,CN=eregalerij2022-vip-tickets.events.radio2.be,eregalerij2022-vip-tickets.events.radio2.be,eregalerij2022-vip-tickets.events.radio2.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f8cec3b87360042efe31c2295bdfc844,e16cac42da1610ca8b4f7c6ae33bc1ae3679fd40a163b842c5e143d6f4de94b2,ctls,eregalerij2022-vip-tickets.events.radio2.be,,443,https://eregalerij2022-vip-tickets.events.radio2.be:443,https,text/html,GET,86.39.65.98,/,-51303940,2a00:6ec0:101:1:0:98:0:1,,96,False,,,https://eregalerij2022-vip-tickets.events.radio2.be/login,,,,,,
feed.ketnet.be,Ketnet,200,3858,AS0,Not routed,None,99.86.8.0/24,www.ketnet.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-10-11T23:59:59Z,CN=www.ketnet.be,www.ketnet.be,www.ketnet.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,269e653404c2255b1a92b137672380a9,86ed68b8f233ad9a8fb8c84707d3b8b6922af8b9a6dcfadc8ef518d5882a0a3d,ctls,www.ketnet.be,cloudfront,443,https://feed.ketnet.be:443,https,text/html,GET,99.86.4.53,/,,2600:9000:2057:fe00:7:5964:d880:93a1,Amazon Web Services,1,False,True,AmazonS3,https://www.ketnet.be/kijken/m/meisjes,,,,,,
filedrop-stag.vrt.be,Shares,200,3108,AS49046,VRT-AS,BE,95.130.40.0/21,filedrop-stag.vrt.be,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T00:00:00Z,2023-08-09T23:59:59Z,"CN=*.vrt.be, O=VRT, ST=Brussels Hoofdstedelijk Gewest, C=BE",*.vrt.be,vrt.be,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,cd835dfd0572a0b38f87a81dd99621d1,bafa1d916d4e8cf1973fcb33d718bdf7305fc3afbf1322e5f1694c3509d35ce8,ctls,filedrop-stag.vrt.be,,443,https://filedrop-stag.vrt.be:443,https,text/html,GET,95.130.41.71,/,,95.130.41.71,Stimulus,83,False,,,https://filedrop-stag.vrt.be/login,True,,VRT,https://d3gcli72yxqn2z.cloudfront.net,,
files.stubru.be,ERROR: The request could not be satisfied,403,915,AS0,Not routed,None,13.224.192.0/21,,,,,,,,,,,,,,,,,,cloudfront,80,http://files.stubru.be:80,http,text/html,GET,13.224.189.64,/,-1346969340,2600:9000:20eb:fe00:18:317d:ee40:93a1,Amazon Web Services,20,False,True,CloudFront,,,,,,,
forum.radio2.be,elke dag telt voor 2 | radio2,200,243147,AS0,Not routed,None,99.86.8.0/24,radio2.be,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-07-23T23:59:59Z,CN=stubru.be,stubru.be,klara.be,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65e6f4c414825b580aea67a19cdecfe2,f9af8d725f145847c8abed28c90aee4f8cd4de52b9a48f573fc5774c8893145e,ctls,radio2.be,cloudfront,443,https://forum.radio2.be:443,https,text/html,GET,99.86.4.52,/,-1312892925,2600:9000:2057:3200:c:990:2c80:93a1,webpack,1,False,True,nginx/1.22.0,https://radio2.be/,,,,,,
galavandegoudenks2022pers.events.ketnet.be,Tickoweb,200,5337,AS56837,TIGRON-AS,BE,86.39.64.0/20,galavandegoudenks2022pers.events.ketnet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-12T14:40:06Z,2023-06-10T14:40:05Z,CN=galavandegoudenks2022pers.events.ketnet.be,galavandegoudenks2022pers.events.ketnet.be,galavandegoudenks2022pers.events.ketnet.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8629afeb9e29c11ff690506dfab40cd6,fc1d9bb155a84b02a2ae01f8c7a02e6b6e987e7756f985f4d74805b405811961,ctls,galavandegoudenks2022pers.events.ketnet.be,,443,https://galavandegoudenks2022pers.events.ketnet.be:443,https,text/html,GET,86.39.65.98,/,-819534055,2a00:6ec0:101:1:0:98:0:1,,262,False,,,,,,,,,
helden-hasselt-voorstelling11u.events.ketnet.be,Tickets Helden - Straffer dan ooit 2023,200,14525,AS56837,TIGRON-AS,BE,86.39.64.0/20,helden-hasselt-voorstelling11u.events.ketnet.be,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-18T08:40:06Z,2023-06-16T08:40:05Z,CN=helden-hasselt-voorstelling11u.events.ketnet.be,helden-hasselt-voorstelling11u.events.ketnet.be,helden-hasselt-voorstelling11u.events.ketnet.be,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5edd3c6bb9ae8908a50d20dae6839a63,70a77fe9bef90736e97ad5e0c7d75160cb930fe513e456761c83a865e429312d,ctls,helden-hasselt-voorstelling11u.events.ketnet.be,,443,https://helden-hasselt-voorstelling11u.events.ketnet.be:443,https,text/html,GET,86.39.65.98,/,,2a00:6ec0:101:1:0:98:0:1,Font Awesome,354,False,,,https://helden-hasselt-voorstelling11u.events.ketnet.be/closed,,,,,,
